evento_id;_CarrierDelay;_WeatherDelay;_NASDelay
24108;762.0;4;98.00
24109;2475.0;10;88.00
24110;950.0;4;16.00
24111;907.0;4;64.00
24112;377.0;2;24.00
24113;1050.0;5;17.00
24114;1892.0;8;5.00
24115;746.0;3;20.00
24116;1363.0;6;31.00
24117;1532.0;7;17.00
24118;1969.0;8;4.00
24119;1541.0;7;23.00
24120;240.0;1;138.00
24121;270.0;2;80.00
24122;584.0;3;1.00
24123;1389.0;6;99.00
24124;503.0;3;36.00
24125;936.0;4;85.00
24126;213.0;1;44.00
24127;152.0;1;17.00
24128;356.0;2;23.00
24129;453.0;2;100.00
24130;453.0;2;6.00
24131;980.0;4;28.00
24132;980.0;4;20.00
24133;2116.0;9;19.00
24134;226.0;1;95.00
24135;231.0;1;121.00
24136;1076.0;5;47.00
24137;853.0;4;10.00
24138;1086.0;5;18.00
24139;1927.0;8;44.00
24140;1005.0;5;72.00
24141;950.0;4;9.00
24142;1797.0;8;15.00
24143;980.0;4;37.00
24144;489.0;2;35.00
24145;1670.0;7;14.00
24146;547.0;3;18.00
24147;584.0;3;6.00
24148;636.0;3;314.00
24149;541.0;3;135.00
24150;1195.0;5;293.00
24151;143.0;1;98.00
24152;1589.0;7;30.00
24153;1124.0;5;31.00
24154;2116.0;9;28.00
24155;1448.0;6;66.00
24156;488.0;2;85.00
24157;153.0;1;6.00
24158;1698.0;7;7.00
24159;321.0;2;12.00
24160;1900.0;8;15.00
24161;2422.0;10;43.00
24162;2172.0;9;9.00
24163;2701.0;11;6.00
24164;581.0;3;54.00
24165;1919.0;8;14.00
24166;692.0;3;26.00
24167;852.0;4;25.00
24168;386.0;2;14.00
24169;1547.0;7;46.00
24170;1599.0;7;66.00
24171;1010.0;5;42.00
24172;1569.0;7;21.00
24173;153.0;1;31.00
24174;205.0;1;20.00
24175;393.0;2;8.00
24176;2116.0;9;1.00
24177;2116.0;9;22.00
24178;1851.0;8;2.00
24179;1851.0;8;40.00
24180;1620.0;7;7.00
24181;930.0;4;14.00
24182;1404.0;6;22.00
24183;936.0;4;66.00
24184;1020.0;5;78.00
24185;2239.0;9;32.00
24186;2182.0;9;7.00
24187;484.0;2;9.00
24188;2139.0;9;21.00
24189;1979.0;8;169.00
24190;2354.0;10;36.00
24191;712.0;3;39.00
24192;554.0;3;17.00
24193;760.0;4;319.00
24194;1185.0;5;36.00
24195;2640.0;11;11.00
24196;721.0;3;148.00
24197;515.0;3;104.00
24198;432.0;2;57.00
24199;1587.0;7;6.00
24200;907.0;4;31.00
24201;1747.0;7;20.00
24202;515.0;3;17.00
24203;332.0;2;130.00
24204;931.0;4;19.00
24205;368.0;2;11.00
24206;406.0;2;10.00
24207;2677.0;11;9.00
24208;1941.0;8;32.00
24209;187.0;1;41.00
24210;1107.0;5;2.00
24211;1888.0;8;16.00
24212;1521.0;7;154.00
24213;821.0;4;17.00
24214;853.0;4;16.00
24215;2139.0;9;14.00
24216;391.0;2;35.00
24217;1175.0;5;41.00
24218;1035.0;5;7.00
24219;1927.0;8;12.00
24220;502.0;3;9.00
24221;1107.0;5;16.00
24222;235.0;1;72.00
24223;509.0;3;12.00
24224;731.0;3;39.00
24225;1749.0;7;7.00
24226;406.0;2;72.00
24227;448.0;2;7.00
24228;626.0;3;3.00
24229;932.0;4;7.00
24230;746.0;3;58.00
24231;1127.0;5;126.00
24232;594.0;3;42.00
24233;991.0;4;74.00
24234;270.0;2;51.00
24235;1013.0;5;91.00
24236;356.0;2;10.00
24237;404.0;2;6.00
24238;356.0;2;37.00
24239;484.0;2;22.00
24240;782.0;4;8.00
24241;862.0;4;4.00
24242;862.0;4;48.00
24243;762.0;4;29.00
24244;271.0;2;144.00
24245;1149.0;5;40.00
24246;1979.0;8;27.00
24247;442.0;2;4.00
24248;1299.0;6;23.00
24249;1979.0;8;23.00
24250;2139.0;9;31.00
24251;1269.0;6;4.00
24252;1269.0;6;29.00
24253;1216.0;5;7.00
24254;606.0;3;23.00
24255;404.0;2;368.00
24256;1269.0;6;32.00
24257;406.0;2;76.00
24258;853.0;4;46.00
24259;1919.0;8;28.00
24260;2079.0;9;18.00
24261;590.0;3;28.00
24262;236.0;1;94.00
24263;120.0;1;0.00
24264;456.0;2;15.00
24265;986.0;4;99.00
24266;794.0;4;25.00
24267;554.0;3;19.00
24268;989.0;4;37.00
24269;3972.0;11;102.00
24270;852.0;4;26.00
24271;507.0;3;52.00
24272;447.0;2;66.00
24273;950.0;4;39.00
24274;109.0;1;25.00
24275;442.0;2;118.00
24276;1306.0;6;33.00
24277;2677.0;11;74.00
24278;1590.0;7;206.00
24279;1947.0;8;55.00
24280;534.0;3;38.00
24281;834.0;4;97.00
24282;1947.0;8;26.00
24283;954.0;4;303.00
24284;1050.0;5;135.00
24285;2615.0;11;221.00
24286;526.0;3;46.00
24287;1076.0;5;43.00
24288;1535.0;7;24.00
24289;356.0;2;58.00
24290;981.0;4;71.00
24291;666.0;3;21.00
24292;1888.0;8;39.00
24293;1572.0;7;15.00
24294;1747.0;7;223.00
24295;712.0;3;34.00
24296;712.0;3;6.00
24297;1029.0;5;42.00
24298;516.0;3;52.00
24299;692.0;3;25.00
24300;2139.0;9;55.00
24301;1399.0;6;31.00
24302;515.0;3;220.00
24303;223.0;1;74.00
24304;2446.0;10;120.00
24305;1123.0;5;42.00
24306;1399.0;6;102.00
24307;373.0;2;915.00
24308;317.0;2;34.00
24309;1086.0;5;13.00
24310;1076.0;5;123.00
24311;980.0;4;82.00
24312;1919.0;8;117.00
24313;930.0;4;761.00
24314;1312.0;6;461.00
24315;599.0;3;2.00
24316;3972.0;11;25.00
24317;442.0;2;61.00
24318;640.0;3;39.00
24319;903.0;4;58.00
24320;1020.0;5;30.00
24321;109.0;1;57.00
24322;1195.0;5;49.00
24323;1990.0;8;50.00
24324;1575.0;7;60.00
24325;2677.0;11;81.00
24326;509.0;3;9.00
24327;591.0;3;124.00
24328;780.0;4;139.00
24329;782.0;4;515.00
24330;432.0;2;29.00
24331;151.0;1;137.00
24332;1979.0;8;36.00
24333;2182.0;9;9.00
